id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1531646549205438465|empieza la temporada de refuerzos … ahora sí  salvo @carlosamayar (que dijo que en una segunda vuelta entre @petrogustavo y @ingrodolfohdez votaría por el ingeniero) el @partidoverdecol en bloque se une a la campaña del #petropresidente2022|126438629||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:39:28+00:00
1|1531646546202214401|@colresistiendo @petrogustavo lo más chistoso es que las mujeres adoran a rh|1278315632690372609||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:27+00:00
2|1531646545266884611|@danielacasu13 @germanperh @petrogustavo muchas gracias ✨|1079471841872396288||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:27+00:00
3|1531646542221910017|@petrogustavo las farc|279699182||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:26+00:00
4|1531646538388234242|@kmilomarin86121 @petrogustavo @franciamarquezm 👍|1391951259461107719||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:26+00:00
5|1531646524362526721|@petrogustavo |712589060||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:39:22+00:00
6|1531646509179101184|@mujer_mamerta @petrogustavo ya no es petro es petricoun comunistoide empedernido|864193086951489539||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:19+00:00
7|1531646508990443521|@elizbethcristi7 hasta el final 😎😎😎 firme con @franciamarquezm y @petrogustavo|703571698201837568||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:19+00:00
8|1531646504502542336|@vivianavargasvi @lucianacadahia @petrogustavo de todas maneras hay que darlo a conocer  seguramente los que votaron por el no saben bien quién es ese sujeto |944828610707361792||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:17+00:00
9|1531646502246002688|@poetarubencho @aabenedetti @petrogustavo @caracolradio de acuerdo rubencho  ahora el diablo haciendo hostias|617717155|{'place_id': '0161be1b3f98d6c3'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:17+00:00
