id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1523861574120841216|@ficogutierrez |1506372308197429251||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:04:45+00:00
1|1523861544735551494|@dianacarito1 @ficogutierrez perdónala !@ficogutierrez no sabe lo que hace  y menos lo que dice    #ficopresidente|214693080||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:04:38+00:00
2|1523861527866097665|estimado @ficogutierrez tienes que cuidarte muchísimo amigo  ellos son capaces de hacer cualquier cosa por obtener el poder para destruir a las mayorías trabajadoras y pacíficas de colombia  !dios te bendiga¡ #ficouneacolombia #ficopresidente|121682433||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:04:34+00:00
3|1523861506982621185|@ficogutierrez demasiadas ideas volátiles sin asidero! sin fundamento   ahí hablases de basura !!!eso es precisamente lo q no necesita el país |118402048|{'place_id': '0161be1b3f98d6c3'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:04:29+00:00
4|1523861476917891073|@carhramirez @ficogutierrez |1506372308197429251||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:04:22+00:00
5|1523861433309712385|@pactohmed @ficogutierrez @wilsonariasc @petrogustavo @estebanrestre @independien @jojare2 #petroesdemalambiente|187996195||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:04:12+00:00
6|1523861342603694081|@ficogutierrez |1506372308197429251||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:50+00:00
7|1523861289507999744|@lafm seguro es el mismo matarife el q lo va a mandar a fregar!! tenga cuidado con quien se rodea @ficogutierrez traiciones van y traiciones vienen !!!|194806227||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:03:38+00:00
8|1523861200613912578|@ficogutierrez el populismo es de todos los lados   la derecha también ofrece subsidios para congraciarse con el pueblo |223134482||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:16+00:00
9|1523861196285358081|@yapaquehijuep_ @andresfernand @kauhabata @pinedaruizbog @ficogutierrez ¿qué es mentiras? cuando el ojo de sapo la presentó era hasta 640 ese hp es más tapao que culo de muñeca  |2558931300||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:15+00:00
10|1523861179508142081|@juanitacatano @ficogutierrez esoo mujer valiente y berraca!!! tremenda foto con nuestro proximo presidente |1256774271453593601||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:11+00:00
11|1523861142908588032|@jokeraton @ficogutierrez #elcambioenprimera|859438044394532864||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:03:03+00:00
12|1523861123069624322|la conclusión del día es que @sergio_fajardo no está en campaña presidencial sino en campaña antifico  y por andar ocupado tratando de dañar a @ficogutierrez  la campaña de petro lo quemó y ni siquiera ha levantado la voz? un bobo es lo que es |1070691086207762435||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:58+00:00
13|1523861054098399232|@ficogutierrez que a ningún colombiano le falte el pan en la mesa  así si |194352060|{'place_id': '0116b409205a5237'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:41+00:00
14|1523861041318400006|"@ficogutierrez los gastos van a ser tan ""austeros"" como lo fueron en su alcaldía?"|2925310360||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:38+00:00
15|1523861016345518080|@jenniferpedraz @ficogutierrez jajaajs están “quemados”   una mediocre como ud  criticando a fico porque no dijo lo que ud quiere escuchar  este tipo de gente terminará con los que los quemaron  así son|828323431||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:32+00:00
16|1523861015057862657|mira @ficogutierrez lo que uno se encuentra en #tiktok inaceptable esto con @sergio_fajardo #petroelpatrondelmal |140604279||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:32+00:00
17|1523860997286547457|no vi pronunciamiento alguno del candidato @ficogutierrez sobre el paro armado del clan del golfo  no escuché esa voz vehemente y acusadora denunciando a los bandidos que aterrorizaron a la comunidad de 11 departamentos  y tampoco le hizo una crítica a duque por andar de paseo |78366803||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:28+00:00
18|1523860992219824128|@ficogutierrez |3222657700||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:27+00:00
19|1523860930513317896|@telemedellin @sergio_fajardo @petrogustavo @ficogutierrez #elcambioenprimera|859438044394532864||{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter Web App|2022-05-10 03:02:12+00:00
20|1523860921709481984|@ficogutierrez eso no es reducción del estado  eso es reasignación de los recursos  menos estado  más mercado  menos impuestos  más empresas y más empleo |66590145||{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:10+00:00
21|1523860874762625025|@a_wolf27 @ficogutierrez la diferencia es una colección d crímenes d todos los tamaños  colores y sabores q afectaron a todo el conjunto d la sociedad; eso no se lava con desmovilizarse  pero jamás esos crimínales de podrán decir que son mejores que x o y  es tu elección ser “empá” con ellos 👍|1503925366229979142||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:59+00:00
22|1523860859705073664|@petrogustavo @aabenedetti @roybarreras aprendan!! la convicción le gana a cualquier photoshop!! grande @ficogutierrez #ficopresidenteenlaprimeravuelta |252381982||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:55+00:00
23|1523860751219314688|@ficogutierrez austero vos? que te gastaste 130mil palos solo en publicidad? no jodas|187056307||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:29+00:00
24|1523860748979556357|"@juchooo12 @quinterocalle @ficogutierrez y es que su amado ""petro"" con quien salía? con la mamá no creo que fuera jajajaja  salía con los mejores amigos de la guerrilla y mejor no se diga más de lo que pasaba en las calles y montañas dónde el se escondía 🤦🏽‍♂️  dios mío  estos petristas si no"|4888369295||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:29+00:00
25|1523860722194817026|@senadormotoa @ficogutierrez @wilsonariasc @jorgeivanospina @pcambioradical @lafm @revistasemana @rcn980cali tan parecidas las prácticas de los seguidores de @petrogustavo a las del 3er reich de los nazis  marcando locales  vandalizando vitrinas  sedes  vidrios de vehículos  me imagino de donde saldrán esas directrices   y eso que se dicen defensores de la democracia   |150241035||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:22+00:00
26|1523860710240964609|@natiibedoya @ficogutierrez eres como el ñame 😎|52172571||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:19+00:00
27|1523860613734322176|el verdadero cambio consiste en evitar que los malos lleguen al poder  por eso apoyo a @ficogutierrez !#ficopresidente |777512663958036481|{'place_id': '0161be1b3f98d6c3'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:56+00:00
28|1523860573833809920|@ficogutierrez señor presidente  es una excelent idea  imagínese valle del cauca  roncesvalle   san antonio  chaparral  neiva  colombia( huila)  uribe  villavicemcio  ya está trazado la ruta  los del llano no tendrían que ir a bogota  y ni siquiera pasar por la línea  por favor hágalo  gracias|791977490||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:47+00:00
29|1523860538391998466|@ficogutierrez en los países desarrollados  con la misma extensión de tierras y con menos vacas  hoy se produce mucho más alimentos y litros de leche que hace 10 años  la clave ha sido incrementos en productividad  a base de investigación y transferencia de tecnología  la investigación es clave|429483310||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:38+00:00
30|1523860535950860288|petro es involucion  cambio para peor  @ficogutierrez @eltiempo @noticiascaracol @elespectador @ficogutierrezz @cnnee @ingrodolfohdez @sergio_fajardo @enrique_gomezm @ibetancourtcol|1563888248||{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:38+00:00
31|1523860533367164928|a #fecode la aborrecen las mayorías  unidad a #petroelpatrondelmal son millones de votos que el #pactodecorruptos perderá  @ficogutierrez será el nuevo presidente de colombia  si estás de acuerdo dá un #si no compartes mi visión estás grave compatriota |121682433||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:37+00:00
32|1523860524894769154|@ficogutierrez |1301716358032490497||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:35+00:00
33|1523860495186464769|@comandante_ejc @ivanduque @ficogutierrez @enrique_gomezm |336789308||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:28+00:00
