id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1523861165478236161|@petrogustavo @piedadcordoba |1450269875860029440||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:08+00:00
1|1523861156783431680|@claudialuci1018 @vanedelatorre @petrogustavo @veronicalcocerg 4* fuera d eso es feo  descuidado en su presentación personal   muy bastardo para hablar   es arrogante   se ve de una actitud salvaje y despachado   no es un tipo q se mida x buscar una presencia de acuerdo al medio en q  está metido con personas importantes  |1216571778||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:06+00:00
2|1523861113640734724|@noticiascaracol @fecode @petrogustavo que no les alcanzó la trampa pero este año “mejoraron” para ayudar al capo @petrogustavo|2719939691||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:56+00:00
3|1523861113280081922|@natiibedoya @petrogustavo pues arderá lo que deje duque en pie  lo que es vivir en la burbuja de la ignorancia o de los privilegios    aunque a mi me late que esta es una levantada  una caranga resucitada|67323953||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:02:56+00:00
4|1523861053888729089|@natiibedoya @petrogustavo arder de felicidad del pueblo que lo va a apoyar |242585597||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:41+00:00
5|1523861023769436160|@petrogustavo el #narcopetrismo  pagando 70 mil pesos por asistir a las plazas |2644687779||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:34+00:00
6|1523861018836930564|@isabelsalazarj @petrogustavo ya demostró lo q hace con el poder  abusar y dilapidar $$ en bta fracaso en todo  su programa basado en ideales comunistas falsos obsoletos en rusia  hambre  lucha  bolivar no salen del discurso embaucando a ingenuos  @sergio_fajardo @caracolradio @cmilanoticia |801617737365721088||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:33+00:00
7|1523860994442866689|@nandoleads @angelicaverbell @petrogustavo @aabenedetti @pedrohflorez @jahfrann @hollmanmorris @resistenciades @fisicoimpuro @donizquierdo_ @0d1n1985 @levyrincon no se si mete mete coca  pero borracho baboso en una tarima no lo e visto  normalmente el borracho es periquero   bye|210857282||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:27+00:00
8|1523860973597216768|@mariafdacabal hay que preguntarle a @petrogustavo si estaría dispuesto a extraditar a los cabecillas de las farc a los estados unidos si son capturados|299222471||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:22+00:00
9|1523860962012536835|@moecolombia @cne_colombia @ueencolombia @courpenaleint   cuales son las garantías de nuestro candidato @petrogustavo ? |552469095||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:19+00:00
10|1523860943653982208|@elsemblante @petrogustavo @franciamarquezm |1425794309379473420||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:15+00:00
11|1523860930513317896|@telemedellin @sergio_fajardo @petrogustavo @ficogutierrez #elcambioenprimera|859438044394532864||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:02:12+00:00
12|1523860908249948160|@juampasantos @petrogustavo guardaré esa fotografía para enviársela a todos los mamertos que pueda el día de la posesión de fico-presidente |512242019||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:07+00:00
13|1523860890998960128|por @petrogustavo #conpetroenprimera @jokeraton |784786741||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:03+00:00
14|1523860878000635905|señores candidatos @sergio_fajardo @ficogutierrez @ingrodolfohdez @johnmiltonr_ @petrogustavo si alguno de  uds es elegido presidente de la república de colombia 🇨🇴 ¿sancionará la ley #colombiasintoreo ? |57060361|{'place_id': '0115096e48a23c32'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:59+00:00
15|1523860859705073664|@petrogustavo @aabenedetti @roybarreras aprendan!! la convicción le gana a cualquier photoshop!! grande @ficogutierrez #ficopresidenteenlaprimeravuelta |252381982||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:55+00:00
16|1523860856211132420|@_marialopez16 @petrogustavo @franciamarquezm @pizarromariajo cuanto le pagarian para poner esa porqueriza en la ventana jajajaja|1390731437016559619||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:54+00:00
17|1523860840314818561|ese tal #elcambioenprimera con el que salió @quinterocalle el día de hoy  no es más que una evidente participación de suya en la campaña de @petrogustavo|334964709|{'place_id': '00698bbe577bad5b'}|{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:50+00:00
18|1523860833398312960|@karenda75438726 @petrogustavo @franciamarquezm gustavo petro y francia márquez por colombia|930577281306759168||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:49+00:00
19|1523860825143971841|@alejandromtzm @winslowleach999 @alvarouribevel @petrogustavo es mejor no discutir con los millenials citadinos que van a estrenar la cédula votando por primera vez por petro  pierdes el tiempo… |1398693527794630658||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:01:47+00:00
20|1523860740909801472|@johnmiltonr_ @sergio_fajardo @ficogutierrez @petrogustavo este sr es un estafador|1411422663373897732||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:27+00:00
21|1523860722194817026|@senadormotoa @ficogutierrez @wilsonariasc @jorgeivanospina @pcambioradical @lafm @revistasemana @rcn980cali tan parecidas las prácticas de los seguidores de @petrogustavo a las del 3er reich de los nazis  marcando locales  vandalizando vitrinas  sedes  vidrios de vehículos  me imagino de donde saldrán esas directrices   y eso que se dicen defensores de la democracia   |150241035||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:22+00:00
22|1523860685184249856|los de éste portal mediocre  se han especializado en vivir de la imagen de @petrogustavo  todos los días se inventan cualquier pendejada para desacreditarlo  vía @pulzo|88063890||{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:13+00:00
23|1523860666980999173|@manuel_rodb @noticiascaracol propuesta hueca es decir que el principal problema de colombia es el calentamiento global como dice @petrogustavo|470549982||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:09+00:00
24|1523860643627081734|@alvarouribevel no le da vergüenza enlodar al candidato @petrogustavo con hechos que ud y sus séquito acostumbran a hacer  petro presidente carajo|169632873||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:04+00:00
25|1523860635817283584|@petrogustavo sabemos que el señor fajardo es tan ególatra que jamas lo hará|269441370||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:02+00:00
26|1523860629060259843|@ghitis @ficogutierrez es tan triste que no tenga ni medio discurso que no depende de nuestro próximo presidente @petrogustavo|85435589||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:00+00:00
27|1523860593438044160|@jairoricardoos1 @karenda75438726 @luisant44385299 @petrogustavo @franciamarquezm |1129523836947488768||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:52+00:00
28|1523860588971057152|@yuli06103900 @petrogustavo @aleltbd @senorcaicedo_ no estoy jugando  estoy mostrando la realidad  los hechos  este patrullero murió atacado por la espalda por el grupo que apoya a @petrogustavo y se tiene que mostrar así  por qué mañana llegan los zurdos y dicen que todo esto es mentira  que los bandidos eran ángeles |2317795381||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:51+00:00
29|1523860576904044545|@elsemblante @petrogustavo @franciamarquezm pero  cuando no han estado con petro?  si es para venderlos como que suman esos están contados desde la campaña del 2010 |1218291845714927616||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:48+00:00
30|1523860576551776256|@johnmiltonr_ @sergio_fajardo @ficogutierrez @petrogustavo jajaja mijo tratando de hacerle guiño  guiño  muy simpatizante sumercé !! 🤣🤣porque más quemado pa dónde!|879041732||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:48+00:00
31|1523860571174674441|@petrogustavo amor en usted? ambicioso  mentiroso  vengativo y dice qué tiene amor? tal vez por usted!!!|2178868897||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:00:46+00:00
32|1523860569039724544|@petrogustavo petro propone paz y diálogo social con “todos” los grupos armados |152000479||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:00:46+00:00
33|1523860528271138820|@vanedelatorre @petrogustavo @veronicalcocerg |1239682430174461958||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:00:36+00:00
34|1523860523212853248|@danielbricen @fcardenasroj no es aceptable que las autoridades guarden silencio y no actúen ante la evidencia clara y las denuncias de que eln  disidencias farc y clan del golfo están presionando en sus zonas de influencia a los electores a votar por @petrogustavo so pena de ser asesinados |45721489|{'place_id': '00cc64bf0c951160'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:35+00:00
35|1523860519031132160|@eltiempo @petrogustavo @sergio_fajardo eso se sabía    estos están desde hace meses listos para unirse|315543564||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:34+00:00
36|1523860468250685443|@patria_1623 @petrogustavo @franciamarquezm petro petro voy a votar por petro|1145895155477688323||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:22+00:00
37|1523860432657817600|alcalde  es claro que su mensaje hace alusión a campaña de @petrogustavo  es decir  participación en política  recuerde cómo les molestó  principalmente a usted  los comentarios del  general @comandante_ejc  así piensan gobernar si ganan? haciendo lo que tanto critican  |289725043||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:13+00:00
38|1523860388554715145|@ficogutierrez te falta los aguacates  los paneles solares  carros eléctricos para taxistas  subsidios para los más viejos y muchas cosa más quiere están en el programa de @petrogustavo y estás copiando inepto hp|1035154374||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:03+00:00
39|1523860375661334528|@karenda75438726 @petrogustavo @franciamarquezm |1129523836947488768||{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:00:00+00:00
40|1523860370351431685|@noticiascaracol la mayor falsedad noticiosa y sin rubor no rectifican con el nombre de la víctima o su abogado  y en general permiten asesinatos de líderes y militantes para generarnos miedo y menguar los votos q ya predicen el triunfo en 1a vuelta @petrogustavo seguro lo sabe |779139480720736256||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:58+00:00
41|1523860367000150017|cientos de miles de millones de pesos y cientos de miles de recursos humanos para adelantar una campaña que incluye desprestigiar a @petrogustavo   su familia  amigos  entornos  militantes y hasta aliados de otros partidos y movimientos  viralizar fake news y audios y videos|779139480720736256||{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:58+00:00
42|1523860364315738112|#elcambioenprimera el establecimiento determinó jugarsela toda en estos 20 días para parar a @petrogustavo  prensa  iglesias  casi todas  gobierno central  gobernaciones  alcaldías  órganos de control  algunos magistrados de altas cortes  tribunales y muchos jueces  muchos|779139480720736256||{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:57+00:00
43|1523860349170200576|@petrogustavo bobo hijo de pura a gutierrez lo infiltraron personajes mañosos   encambio usted infiltro familias para secuestrarlas  para violar niños   para matar personas  usted es un maldito asesino qie debería de estar muerto mlprd  y tiene el descaro de hablar 💩??? no joda perro|1295475362588172289||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:53+00:00
44|1523860332380397569|@alfonsoprada @petrogustavo @veronicalcocerg @franciamarquezm @ammejiaaguado @sofiapetroa que descarados y cínicos  como le llaman amor a lo que este de por medio un delincuente un degenerado como petro|2342872718||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:49+00:00
45|1523860305968783360|@claudialuci1018 @vanedelatorre @petrogustavo @veronicalcocerg 3* como alcalde muchas d las gestiones en su mandato fueron fraudulentas y reconocidas x la sociedad  |1216571778||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:43+00:00
46|1523860292278628352|@igor50429201 @petrogustavo @franciamarquezm #conpetrohastaelfinal|1517681574543872000||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:40+00:00
47|1523860285357969408|yo me llamo alberto arana sierra @alberto_arana_s y queiro que gustavo petro urrego @petrogustavo sea mi presidente y francia elena márquez mina @franciamarquezm sea mi vicepresidenta una mujer raizal con conocimiento de los territorios #presidentepetro #vicepresidentafrancia|168758285||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:38+00:00
48|1523860282426150913|muchos #colombianos con esfuerzos hemos salido adelante  o como @petrogustavo que le apostó a la #democracia para de la mano de los que piensan diferente fortalecer nuestra patria por #colombia por el futuro de nuestros niños  por los campesinos  por reducir las brechas sociales|168758285||{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:37+00:00
49|1523860279196626944|@krdona_fer @noticiascaracol @petrogustavo me llamo arnulfo padilla y quiero que gustavo petro sea mi presidente!para vivir sabroso!|332975874||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:37+00:00
50|1523860248913747968|si duque o claudia lópez llegasen a hacer la más mínima referencia sobre su intención de voto  el mismo @petrogustavo  y claro; sus seguidores  prácticamente los condenarían  ah  pero como es a favor de él  ok  gracias  🤯 |132220676||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:29+00:00
51|1523860225945739268|@natiibedoya @petrogustavo está imagen está más ardiente y te toca abrir una cuenta de onlyfans por que se acabaron los contras  |258466060||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:24+00:00
52|1523860213413126145|@don_patriota1 @ficogutierrez @petrogustavo ojo la jep le tiene un guardado a fico para la próxima semana !!! esos hp ya lo tienen todo arreglado|2714595154||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 02:59:21+00:00
53|1523860212687462403|@avanzarahora @petrogustavo @franciamarquezm siii 👍 @petrogustavo  y @franciamarquezm  #progresistasigueprogresista  #petristasiguepetrista|1113212520171491333|{'place_id': '00b6f2602d1b1d6c'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 02:59:21+00:00
54|1523860197118300166|@juansbastian19 @alejandromtzm @alvarouribevel @petrogustavo correcto !!!!despejó el caguan para llegar a un acuerdo de paz  del cual se burlaron las narco farc - ahora llamadas comunes - y que hoy son aliadas de la campaña presidencial de petro|1398693527794630658||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 02:59:17+00:00
55|1523860184824786944|@pachosantosc @fecode @petrogustavo pachita narcoparaca |220108926|{'place_id': '0161be1b3f98d6c3'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:14+00:00
56|1523860180479492096|@j_upegui @petrogustavo @veronicalcocerg por que llaman cambio  a un gobierno de  petro el  que fue genocida con su grupo terrorista y que vi ndo fuef alcalde de  bogotá la dejo en quiebra? cambio a un personaje que dese que dejó las  armas se ha dedicado sólo a incendiar  el país  cambio un personaje  impune jaja 😂|1270012813||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:13+00:00
57|1523860174867423232|@aldana_victor @vanedelatorre @petrogustavo @veronicalcocerg por eso considero a los uribistas bien bandidos |1455009762||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:12+00:00
58|1523860159377723393|@natiibedoya @petrogustavo ayyyy niña por favor calladita se ve más bonita  su neuronita es un poco bobita |961273969||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:08+00:00
59|1523860142059835392|@isaurosalgado @noticiascaracol @petrogustavo @comunescol @fecode ya tenemos la educación gratuita farcfecode se une a petro  hace rato están unidos @andreselgury@millersoto@carlosfmejia@aniabello_r@aniabello_r@jarizabaletaf@jarizabaletaf@mandreanieto@mariafdacabal@captain_airwolf |216450918||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:04+00:00
60|1523860133880676355|vamos con todo @petrogustavo @nicolaspetrob @maximo_noriegar @aabenedetti  @migueldelrioabg @franciamarquezm @pactohistorico |3402740201|{'place_id': '00345a791fbe0951'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:59:02+00:00
61|1523860105359409155|#elcambioenprimera @petrogustavo  #presidente|3157759612||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:55+00:00
62|1523860080944369669|@karenda75438726 @petrogustavo 👍👍👍#conpetrohastaelfinal|1517681574543872000||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:49+00:00
63|1523860056260976641|@claudialuci1018 @vanedelatorre @petrogustavo @veronicalcocerg 2* a demás todo lo q gira entorno a ese tipo es negativo  la gente lo rechaza y le tiene mucha energía negativa  estuvo en el bajo mundo de la ilegalidad  en tráfico de drogas como gerrillero y armas   fuera d eso se consumió en la corrupción  |1216571778||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:44+00:00
64|1523860033611747329|@libertatyorden @petrogustavo |192040715||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 02:58:38+00:00
65|1523860029555761152|@vargasvilcol @julianquintanat @ficogutierrez @petrogustavo vaya siga acosando menores que eso es lo que usted mejor así  eso es lo triste |1499108073117569028||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:37+00:00
66|1523860022760906752|@franciamarquezm @petrogustavo en qué va la investigación de esta delincuente confesa @fiscaliacol ? |2949252377||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 02:58:36+00:00
67|1523860019527225344|@_21jordig siii 👍 @petrogustavo  y @franciamarquezm  #progresistasigueprogresista  #petristasiguepetrista|1113212520171491333|{'place_id': '00b6f2602d1b1d6c'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 02:58:35+00:00
68|1523859961117298689|@franciamarquezm @petrogustavo |552133948||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:21+00:00
69|1523859952028291072|@lyisita1 @petrogustavo petro petro voy a votar por petro|1145895155477688323||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:19+00:00
70|1523859945720061958|@ficogutierrez si es asi    invite a votar por @petrogustavo  lo digo porque se supone que usted desea lo mejor para colombia|1207765021910016001||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:17+00:00
71|1523859921405681665|"@pizarromariajo @petrogustavo @franciamarquezm @movimientomais quien lo organizo no invito a nuestro senador electo @cesarpachonagro pero sabemos el trabajo y la pela ""dura y sin temor"" por la defensa del campo y el cambio"|4824283913||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:58:11+00:00
72|1523859859321589760|@jherus siii 👍 @petrogustavo  y @franciamarquezm  #progresistasigueprogresista  #petristasiguepetrista|1113212520171491333|{'place_id': '00b6f2602d1b1d6c'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 02:57:57+00:00
73|1523859850236727297|@aabenedetti @asocajas @petrogustavo |552133948||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:54+00:00
74|1523859844134060033|@mariaandrea0113 @petrogustavo @isazuleta maría a  perdonada  pero no seas tan bruta  ósea eres uribestia  conecta el cerebro por favor|2523351278||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:53+00:00
75|1523859817152106496|@j_upegui @petrogustavo @veronicalcocerg pero no esté     malandro  |3329379574||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:47+00:00
76|1523859803281440768|@alexand20750742 si usted va a votar por @petrogustavo para presidente y @franciamarquezm para vicepresidencia  sigueme y te sigo !se vive como se vota #petropresidente2022 #progresistasigueprogresista#mesiguestesigo#mesiguestesigo#mesiguestesigo#mesiguestesigo#mesiguestesigo#mesigues|1211176142591295488||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:43+00:00
77|1523859799326212097|@wilsonariasc @petrogustavo tan valientes los parásitos cobardes  solo con un arma y en grupo son verracos|1445355446576033798||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:42+00:00
78|1523859790681841665|@elizbethcristi7 @petrogustavo #atencion #colombia saludos colombianos y no os olvidéis  #elcambioenprimera#petropresidenteenprimeravuelta|1100067466926084096||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter Web App|2022-05-10 02:57:40+00:00
79|1523859788991549440|@elizbethcristi7 @petrogustavo 😉 tqm   señorita progresista   |330704891||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter Web App|2022-05-10 02:57:40+00:00
80|1523859774479216640|colombia ya llega el cambio  un cambio imprescindible  irreversible  hacia el futuro  seguimos firmes  avanzando sin rendirnos  llenos de pasión por colombia  es tiempo de unir este andar  ¡un cambio por la vida!:@petrogustavoel 29 de mayo elige el cambio  vota #petropresidente |296863250||{'retweet_count': 5, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:36+00:00
81|1523859773791297536|@kamilacorreae @petrogustavo @wradiocolombia entonces  lo importante es mostrar esas pruebas  porque acá alguien no dice cosas coherentes  🤔🤦|275110876||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 02:57:36+00:00
