id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1531649877377265667|@patriciajaniot @ingrodolfohdez @petrogustavo @bluradioco |1313198415581413379||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:42+00:00
1|1531649872532844544|@falaciadeldia @toyaviudes @petrogustavo 💓💓💓💓|1239137978||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:40+00:00
2|1531649867315089410|@las2orillas @ingrodolfohdez @petrogustavo es que sinceramente ese combo de petro es diabólico!|1351010252||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:39+00:00
3|1531649866660823041|@nossiej2419 @elsemblante @petrogustavo @registraduria @caracolradio ya se la respondí  me da igual  por lo menos con rodolfo podremos volver a votar en 4 años con petro no|158510458||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:39+00:00
4|1531649861082304513|@toyaviudes @petrogustavo entonces por qué obtuvo el 50 % de la votación en bogotá?|634594672||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:38+00:00
5|1531649860193198081|@betosfernandez @petrogustavo de acuerdo|2318732368||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:38+00:00
6|1531649859949932546|"""¿cómo hago yo para decirle a alguien que no vote por mí?""  dijo hace unos momentos @ingrodolfohdez a  @caracol   lo mismo puede decir @petrogustavo con total tranquilidad  el asunto es que no vayan a comprometer sus principios por recibir apoyos  ese es el verdadero asunto "|797197784||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:37+00:00
7|1531649858838446080|@mirandasusplo @petrogustavo |3380830205||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:52:37+00:00
8|1531649850747588608|@ingrodolfohdez ni crea que ud es lo máximo  deje arrogancia  aproveche coyuntura  maneje con delicadeza a quienes no votamos x ud en primera  necesita nuestros votos ya que no permitiriremos que hampon @petrogustavo sea presidente  ud es el mejor de los dos males  pero trate de ser inteligente!|190686378||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:35+00:00
9|1531649844544212992|@guidogomez1973 @petrogustavo @alvarouribevel no|2788303648||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:52:34+00:00
10|1531649842606444548|@alecortesarbe claro  así es  yo mismo me propongo tratar de no dejarme provocar por los uribistas y explicar de manera sencilla por qué @petrogustavo es la opción correcta vamos que vamos  a levantar ese ánimo |3056973725||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:33+00:00
