id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1524238316475863040|@j_upegui @quinterocalle @cidh ojalá los paísas lleguen a la convocatoria de @quinterocalle   pero a hecharleq tomates y huevos  nos se merece menos este tipo |475284058||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 04:01:48+00:00
1|1524238313162428416|@quinterocalle la dictadura hoy se hizo más que visible no vamos a permitir que el fascismo siga gobernando colombia si suspenden a quintero que pasó con duque y con zapateiro? que hptas tan dictadores|804161774677270532||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 04:01:47+00:00
2|1524238312600391686|@quinterocalle yo en serio me pregunto en qué momento todo se volvió cuestión de marcha y marcha  no señor  utilice los recursos legales que están a su alcance a ver si ahora si se apega a la ley y la respeta |1156159536329363456||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 04:01:47+00:00
3|1524238297878478849|@tutoramirez @margaritarepo @alcaldiademed @petrogustavo @quinterocalle @jarizabaletaf @andreselgury @elcolombiano espero que @fiscaliacol  tome su declaración y si no tiene pruebas que @quinterocalle  lo demandé por injuria y calumnia|1082302825760243714||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 04:01:43+00:00
4|1524238288416088064|@rodrigouprimny y porque no suspendió al inepto de @ivanduque el peor presidente que ha tenido nuestra amada colombia que tanto duele claro como suspender a @quinterocalle les favorece malditos corruptos|1389765944369631232||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 04:01:41+00:00
5|1524238282959339523|@quinterocalle te suspendieron  pero eso no significa que quedas libre para trabajar por el candidato de tu preferencia?|232893686||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 04:01:40+00:00
6|1524238281399062531|@ivanagudeloz @gajagri @corteidh @quinterocalle yo no estaba de acuerdo con la revocatoria  porque eso era victimizarlo  pero el solito se buscó esa suspensión  no gobernó medellín haciéndole campaña a petro  abusó de su buena suerte |2545399280||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 04:01:39+00:00
7|1524238280123830272|@lauramedinaruiz @quinterocalle saludos  |1496748486301306882||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 04:01:39+00:00
8|1524238279775772672|@alvaromolinap @pgn_col @petrogustavo @quinterocalle nooo más bien que la procuradora fue muy inocente y cayó  pero eso estaba planeado así como todas las trampas y mentiras de petro y el pacto histórico |326239663||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 04:01:39+00:00
9|1524238279553470465|@hollmanmorris @quinterocalle @petrogustavo no hollman  a las calle no  esperemos el m29 y ahí se les derrumba el castillo de corrupción |1562095003||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-11 04:01:39+00:00
