id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1523861369858445312|@rhpresidente @ingrodolfohdez @sergio_fajardo este par son la parte cómica en la política  🤣🤣|777293569||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:03:57+00:00
1|1523861363659100161|@ingrodolfohdez @sergio_fajardo ¡ay  no rodolfo! eso no es nada rockstar 😤 |945021873015881728||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:55+00:00
2|1523861343937433602|@ingrodolfohdez @caferoco16 fico presidente|1313198415581413379||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:51+00:00
3|1523861262786039818|@alvarocastanov @ficogutierrez @eltiempo @noticiascaracol @elespectador @ficogutierrezz @cnnee @ingrodolfohdez @sergio_fajardo @enrique_gomezm @ibetancourtcol |1519698101329661955||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:31+00:00
4|1523861205697413122|@ingrodolfohdez @caferoco16 este viejo está enamorado de fico|1313198415581413379||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:18+00:00
5|1523861141729935360|@johnre0707 @contraguerrill6 @jarizabaletaf si  por eso este 29 de mayo va a ganar el candidato que va a permitir que los buenos reciban las oportunidades que se merecen  @ingrodolfohdez quiere hacer país para todos!|1164734591619387392||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:03:02+00:00
6|1523861029750554625|@ingrodolfohdez no sea ingenuo ing  lo inflan  pa que cuando gane  la gente no diga  y votos de dónde si no aparecía en encuesta  y así legalizar los 4millones de votos que deben compran pa ganar !|176272981||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:36+00:00
7|1523861014030209025|@jcampuzanohoyos @sergio_fajardo @ingrodolfohdez excelente idea!! sería ideal que de alguna manera el voto de centro llegara menos fragmentado|1495563397190066176||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:32+00:00
8|1523860984376565761|@_edwin7777 @ingrodolfohdez ingeniero rodolfo  le he creído desde su laboratorio en bucaramanga  cuando lo consulten en cualquier medio o debate por favor  sin lanzar tantos señalamientos de ladrones  corruptos que ya sabemos  responda elegante con sus planteamientos de buen gobierno  buenas ideas  vale!|1519348728611717122||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:25+00:00
9|1523860929733087232|@_lajuli_ @ingrodolfohdez @sergio_fajardo juli etiquetandome en mrikdas jajajajajaj pero ojalá 😓|1270476122535452678||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:12+00:00
10|1523860923135447042|@ingrodolfohdez voy con el ingeniero mi voto será por rodolfo|1394502710897041422||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:10+00:00
11|1523860892957523968|@ingrodolfohdez fico presidente|1313198415581413379||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:03+00:00
12|1523860878000635905|señores candidatos @sergio_fajardo @ficogutierrez @ingrodolfohdez @johnmiltonr_ @petrogustavo si alguno de  uds es elegido presidente de la república de colombia 🇨🇴 ¿sancionará la ley #colombiasintoreo ? |57060361|{'place_id': '0115096e48a23c32'}|{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:59+00:00
13|1523860845536718850|vamos a ganar! vamos a ganar! asi se hace presidente sin tanto show y mire la gente lo sigue! un gobierno de transición que permita depurar y controlar el gasto público para poder invertir en el campo  la tecnología y el deporte! 👏👏👏 @ingrodolfohdez #yolecreoalviejo |95244015||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:01:52+00:00
14|1523860840784531457|@ingrodolfohdez no hable pendejadas la union y gana colombia |572873975||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:51+00:00
15|1523860750367875072|@ingrodolfohdez si ud pasa  cuente con mi voto  y el de muchos  con tal que quemar a fico    |1443056365245718528||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:29+00:00
16|1523860731770331136|@ingrodolfohdez 🚨#quemadosenprimeravueltacifuentes se mantiene firme en las declaraciones iniciales sobre los supuestos vínculos de la oficina y la alcaldía de medellín de la época  “ellos quieren que yo saque limpios a los fiscales  a federico y a gustavo villegas”  |1403229235716792320||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:01:25+00:00
