id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1524805460938969090|@wilmeralc_ @ingrodolfohdez @johnmiltonr_ @ficogutierrez @sergio_fajardo @enrique_gomezm @petrogustavo @ibetancourtcol 4|112549119||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:35:26+00:00
1|1524805459303190530|@ingrodolfohdez ingeniero lo mismo le pasaría a usted si queda de presidente por eso seria importante que los dos se unieran y siendo usted una persona transparente ayudara al crecimiento del país |752997692||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:35:25+00:00
2|1524805450587328513|@elnegrovicto @ingrodolfohdez el @ingrodolfohdez el cambio que colombia necesita #rodolfopresidente |1083356886236311552||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter Web App|2022-05-12 17:35:23+00:00
3|1524805444228849664|@carlosaltamar27 @ingrodolfohdez y si dice tantas pendejadas para que lo quieren en el tal pacto histórico 🤔🤔🤔|636449534||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:35:22+00:00
4|1524805399697838080|@ingrodolfohdez ni por el putas voto por usted|990783504127537153||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:35:11+00:00
5|1524805361064202243|@wradiocolombia @ingrodolfohdez #rodolfoenlaw perverso  esclavista  corrupto  desprecia al pueblo con su lenguaje uribista socarrado|128646096||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:35:02+00:00
6|1524805353623502849|jajajaja     el único embajador que se necesita es el embajador de méxico    los demás no hacen nada  @ingrodolfohdez|15311907||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-12 17:35:00+00:00
7|1524805340755283968|rudooolfff te amooooo  los embajadores no sirven  los cancilleres sí tienen funciones legales y constitucionales útiles  los embajadores no  @ingrodolfohdez 💪🏼 #siguelaw#siguelaw|1362126679532072968||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:34:57+00:00
8|1524805331855056896|@wradiocolombia @ingrodolfohdez #rodolfoenlaw un hombre con carácter  estudiado  viajado trabajador  excelente acabar con la burocracia política  rodolfo hernández presidente|2194692916||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:34:55+00:00
9|1524805325555216384|@wradiocolombia @ingrodolfohdez el cumple! en bucaramanga lo hizo  el problema es que el congreso lo deje  o también les va a poner la mano|1242889760928141315||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-12 17:34:53+00:00
10|1524805313567895561|@ingrodolfohdez y a usted si?|252884533||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:34:50+00:00
11|1524805301937049600|@ivanduque credibilidad cero 5 millones de votos fraudulentos a favor de #narcotrafico listos para 29 de mayo registrador y procuradora garantizan así las elecciones transparentes q el traidor a la patria @alvarouribevel exige capitalismo sí#narcotrafico no@ingrodolfohdez presidente|1446630462974218243||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:34:48+00:00
12|1524805301207191552|"#siguelaw #rodolfoenlaw | ""el estado coge la plata de todos y no alcanza  vamos por otra reforma  en 30 años nos han metido 19 reformas y todo sigue igual"": @ingrodolfohdez &gt;&gt;  "|20560294||{'retweet_count': 1, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}|TweetDeck|2022-05-12 17:34:47+00:00
13|1524805276087508997|@ingrodolfohdez entonces seguimos con los mismos trauqetos con amigos traqueos en el congreso?|1166855280124137472||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-12 17:34:41+00:00
14|1524805213462446081|@wradiocolombia @ingrodolfohdez #rodolfoenlaw |538398947||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-12 17:34:27+00:00
15|1524805209033154564|#rodolfoenlaw el verdadero presidente  ese es mi presidente @ingrodolfohdez|4875673726|{'place_id': '00cc64bf0c951160'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-12 17:34:26+00:00
16|1524805156092657665|@ingrodolfohdez y por qué a usted sí lo dejarían? 🤔|64540507||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:34:13+00:00
17|1524805075964727296|@ingrodolfohdez ahí es cuando usted demuestra ser un buen colombiano y se une a su gobierno y damos #cambioenprimera|1433623602176397314||{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-12 17:33:54+00:00
18|1524805073754279940|@luisferta @ingrodolfohdez @wradiocolombia @juanpablocalvas le sugiero que gaste unos minus en leer el programa de gobierno  #rodolfopresidente|799310910879842304||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-12 17:33:53+00:00
19|1524805057224577024|@elnegrovicto @ingrodolfohdez yo|625191280||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for iPhone|2022-05-12 17:33:49+00:00
20|1524805046352809993|"@ingrodolfohdez @wradiocolombia @juanpablocalvas @fdbedout @paoherrerac 2/2 tal vez puliría un poco uno de sus mayores encantos: ""ser desabrochado para hablar""  y no podemos desconocer que su tendencia aunque diferente a la de uribe es derechista  y algo dictatorial  y para ver que lo dejen avanzar en un congreso de nuevo  uribista @sergio_fajardo"|3040958285||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:33:47+00:00
21|1524804953180610561|"@ingrodolfohdez ¿entonces el problema con petro no son sus nefastas propuestas y aliados corruptos  sino que la ""derecha"" no lo dejaría gobernar bien? ¡hágame el favor!"|1089454460294914048||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:33:25+00:00
22|1524804934218223616|@vfjd94 @ingrodolfohdez rodolfo hernández pésimo como alcalde de pronto con la empresa constructora maneja bien las finanzas porque es de su propiedad|1315458790142205958|{'place_id': '015ebf2571d0d8ce'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:33:20+00:00
23|1524804897169887234|los embajadores no sirven  los cancilleres sí tienen funciones legales y constitucionales útiles  los embajadores no  @ingrodolfohdez 💪🏼|1362126679532072968||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:33:11+00:00
24|1524804794061402113|"@ingrodolfohdez #siguelaw #rodolfoenlaw | ""propongo hacer una ciudad justicia  hay que buscar el sitio  y ojalá esté pegado a un río navegable  para hacer una ciudad justicia en donde tengamos un régimen especial"": @ingrodolfohdez sobre su propuesta de reformar el inpec &gt;  "|20560294||{'retweet_count': 1, 'reply_count': 1, 'like_count': 7, 'quote_count': 1}|TweetDeck|2022-05-12 17:32:47+00:00
25|1524804723076915202|@cedemocra credibilidad cero 5 millones de votos fraudulentos a favor de #narcotrafico listos para 29 de mayo registrador y procuradora garantizan así las elecciones transparentes q el traidor a la patria @alvarouribevel exige capitalismo sí#narcotrafico no@ingrodolfohdez presidente|1446630462974218243||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:32:30+00:00
26|1524804694245265412|@luis44241449 @sergioojedad @ingrodolfohdez @petrogustavo jajajaja uribe está en el poder aún  el gobierno tiene la fiscalía y todos los entes de control y por eso le archivan los procesos y no avanza investigación si petro es tan culpable de lo que se le acusa ¿por qué no tiene ningún proceso abierto? jajaja pequeña diferencia¿no?🤣|1370970955682562048||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-12 17:32:23+00:00
27|1524804679557091328|¿quien más va a votar por el ingeniero @ingrodolfohdez en primera vuelta?|1368220597||{'retweet_count': 0, 'reply_count': 2, 'like_count': 3, 'quote_count': 0}|Twitter for Android|2022-05-12 17:32:19+00:00
28|1524804657406697473|@wradiocolombia @ingrodolfohdez este viejito para echar carreta es el mejor  no le creo a los políticos  diciendo politiqueros a los demás|357854113||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-12 17:32:14+00:00
29|1524804656295297024|@wradiocolombia @ingrodolfohdez #rodolfoenlaw nuestro próximo presidente@ingrodolfohdez presidente|2194692916||{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}|Twitter for Android|2022-05-12 17:32:14+00:00
