id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
0|1523861289940000769|@ghitis @sergio_fajardo debería darse por bien servido  ya que otras víctimas de los miembros del @pactohistorico fueron quemados pero en🔥 palacio de justicia🔥 iglesias🔥 buses  camiones y medios de transporte🔥 clubes sociales 🔥 estaciones de policía |157438923||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:03:38+00:00
1|1523861287620464643|@jhernandezamin @sergio_fajardo hablas de desconfianza en el electorado;¿no es la misma que generó fajardo al irse a ver 🐋?¿ser de centro es taparse los 👀 cuando hay un gobierno desastroso como el actual?¿ser de centro es no tomar posturas ante el descontento nacional que se reflejó en un paro sin precedente?|128956218||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:03:37+00:00
2|1523861266745462786|@sergio_fajardo la gente tiene que despertar del letargo mental de polarización en que nos tienen en el país  es hora del real cambio #fajardopresidente|159211538||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:32+00:00
3|1523861262786039818|@alvarocastanov @ficogutierrez @eltiempo @noticiascaracol @elespectador @ficogutierrezz @cnnee @ingrodolfohdez @sergio_fajardo @enrique_gomezm @ibetancourtcol |1519698101329661955||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:31+00:00
4|1523861246528958467|@donizquierdo_ @isazuleta @sergio_fajardo también  isa grande!|1506007540819271682||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:27+00:00
5|1523861233216241667|empezó @latele_letal hoy con @sergio_fajardo #fajardoenlatele  |77648678|{'place_id': '0161be1b3f98d6c3'}|{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:24+00:00
6|1523861223691157505|ome @sergio_fajardo : todo el mundo lo ve menos vos  yo estoy convencido que ese ese no es tu proceder  tenés un caballo de troya  un delincuente que te tiene chuzada  infiltrada o como dice esos delincuentes  entrampada  |1510662589444939793||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:03:22+00:00
7|1523861217844072449|@sergio_fajardo @wradiocolombia yo voté por usted en primera vuelta en el 2018 y no sabe lo mucho que me arrepiento  y no es por una campaña sistemática para eliminarlo  es porque se lo ganó a pulso usted solo  deje de  hacerse la víctima |259571453||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:20+00:00
8|1523861214392160256|@monje241628 @luzma2m @sergio_fajardo |612710896||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:20+00:00
9|1523861187095674880|@profevictorhac @fecode @educalsindicato @sergio_fajardo pero porqué @fecode parece tan monolí?|1528714496||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:03:13+00:00
10|1523861184759296000|@sergio_fajardo ese equipo de comunicaciones va de mala decisión en mala decisión como saltando en un jardín de flores |622308302||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:03:13+00:00
11|1523861181752086531|@danniel_qf @sergio_fajardo #farajdopresidente|1521171150029606914||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:03:12+00:00
12|1523861176161034242|@gatlin80 @darcyquinnr @sergio_fajardo @lcvelez qué dolor de patria de país   no encuentro las palabras para describir a ésta señora senadora elegida de manera tramposa  y qué  sea representantes del pueblo   y sea un ser tan ruin y cochina   no merece ser congresistas|1399732864841883650||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:11+00:00
13|1523861151632838658|@savanessca @sergio_fajardo ariel chiquito malo  es infiltrado de petro |1483860208476733444||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:03:05+00:00
14|1523861123069624322|la conclusión del día es que @sergio_fajardo no está en campaña presidencial sino en campaña antifico  y por andar ocupado tratando de dañar a @ficogutierrez  la campaña de petro lo quemó y ni siquiera ha levantado la voz? un bobo es lo que es |1070691086207762435||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-10 03:02:58+00:00
15|1523861108666286080|@latele_letal @sergio_fajardo habia dicho me este par de viejos    |2542390603||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-10 03:02:54+00:00
16|1523861083919892481|@donizquierdo_ @isazuleta @sergio_fajardo david fue una estupidez  decir esas vainas  ademas ella no es la culpable del debacle de un pesimo candidato como lo es fajardo  el se quemo y ahogo solo|269441370||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-10 03:02:49+00:00
