,id,tweet,fecha_hora
0,1522392296590909440,colombia se merece un gobierno decente  sin vínculos con la corrupción y con la capacidad de adelantar las transformaciones que necesita la gente  ¡seguimos hasta el final! ,2022-05-06 01:46:22+00:00
1,1522383843768033282,👏🏼 gracias miguel!,2022-05-06 01:12:47+00:00
2,1522383455749042176,_goye_    _bta    💪🏽🇨🇴 seguimos firmes natalia!,2022-05-06 01:11:15+00:00
3,1522383199686610944,suben los precios  pero no las transferencias monetarias de programas como la devolución del iva o familias en acción  nosotros ajustaremos todas las transferencias  con la inflación y daremos un ingreso de $500 000 a todos los adultos mayores sin pensión ,2022-05-06 01:10:13+00:00
4,1522368188067028992,un tbt con   mi mentor y seguro el de miles de colombianos  la decencia y los principios no son opcionales en colombia  hoy más que nunca no todo vale  ,2022-05-06 00:10:34+00:00
5,1522355027230306304,es imperativo recuperar el control territorial no solo con la fuerza pública sino con la presencia integral y permanente de las instituciones del estado en los territorios ,2022-05-05 23:18:17+00:00
6,1522355025707683848,"otra muestra del fracaso de la política de ""seguridad"" de este gobierno: la amenaza del paro armado del clan del golfo pone además en riesgo el comercio  la educación y la libre circulación de los habitantes del bajo cauca antioqueño  ",2022-05-05 23:18:16+00:00
7,1522326377860669441,fusagasugá será protagonista en la revolución educativa que tenemos para colombia  vamos a identificar el potencial de este municipio y de todas las regiones para fortalecerlo con ciencia  innovación y tecnología  el progreso local será de la mano de la gente  ,2022-05-05 21:24:26+00:00
8,1522319648263393280,👏,2022-05-05 20:57:42+00:00
9,1522319616047001607,💪💚,2022-05-05 20:57:34+00:00
10,1522311657996926976,así será sumercé ,2022-05-05 20:25:57+00:00
11,1522280186816995330,iván duque  con su formación de abogado  sabía que esto iba a ocurrir  y aún así  decidió seguir adelante  igual lo hizo el congreso  todos sabían y no les importó  a estas alturas  el daño está hecho  ,2022-05-05 18:20:53+00:00
12,1522276751052886017,muy feliz de estar en fusagasugá junto a    y demás miembros de la   ¡vamos a gobernar para todas y todos en colombia!pueden unirse a la transmisión aquí: ,2022-05-05 18:07:14+00:00
13,1522247216462708737,el voto realmente lo perdemos cuando renunciemos a la oportunidad de tener un gobierno decente  cuando renunciamos a nuestras creencias  a nuestros sueños  cuando renunciamos a hacer la profunda revolución que todos pedimos a gritos ,2022-05-05 16:09:53+00:00
14,1522247214931881986,he escuchado a gente que repite: “fajardo es el mejor  pero votar por él es perder el voto”  a ellos  les digo: votar por unos principios  por unos valores jamás será perder el voto  en esta primera vuelta cada ciudadano tiene la posibilidad de elegir lo que quiere ,2022-05-05 16:09:52+00:00
15,1522247213027663874,no podemos dejarnos convencer de que la decencia es opcional o secundaria: colombia se merece un gobierno decente  sin vínculos con la corrupción y con la capacidad de adelantar las transformaciones que necesita la gente  ,2022-05-05 16:09:52+00:00
16,1522247206136389632,mi decisión es clara y contundente: seguimos hasta el final  yo no estoy acá como candidato a la presidencia por la vanidad del poder  por un puesto  ni para negociar unas cuotas  estamos acá porque creemos que nuestro proyecto es una revolucion que transformará al país  ,2022-05-05 16:09:50+00:00
17,1522209442753822720,cuídate mucho que te necesitamos a ti y a  en la campaña ,2022-05-05 13:39:47+00:00
18,1522206817039925249,nos vemos a las 9:00 a m  ,2022-05-05 13:29:21+00:00
19,1522203329937526784,👏,2022-05-05 13:15:29+00:00
20,1522187668808994817,tenemos el compromiso de cerrar las brechas de género en todos los ministerios y entidades de gobierno  invitadas a ver el video completo:  unidasconfajardo,2022-05-05 12:13:15+00:00
