,id,tweet,fecha_hora
0,1521284145292496896,lamentable que tenga que suspender la gira del eje cafetero  el paso de los sectores de la corrupción a pagar bandas de sicarios para mi eliminación física  muestra la desesperación política a la que han llegado  ,2022-05-03 00:22:58+00:00
1,1521193939881152512,realmente lo que digo es absurdamente malinterpretado  nunca he hablado de hacerme reelegir sino de calificar mi mandato de cuatro años como la construcción de la transición hacia la economía productiva y la sociedad del conocimiento  ,2022-05-02 18:24:32+00:00
2,1521178856576663559,santa marta con el cambio  ,2022-05-02 17:24:36+00:00
3,1521164307853160455,la historia de fuerza ciudadana está ligada a los temas de la educación  el agua  la naturaleza y la defensa de mujeres y hombres que  tratados como iguales  produzcan la tierra con apoyo de crédito popular y transferencia de saberes y conocimiento,2022-05-02 16:26:47+00:00
4,1521164005854875648,nuestro compromiso con fuerza ciudadana y el frente amplio del magdalena es recuperar para la región y sus gentes la institucionalidad arrebatada por razones políticas  sacrificando la autonomía e irrespetando a sus dirigentes ,2022-05-02 16:25:35+00:00
5,1521104369508306944,quiero saludar a los habitantes de santa marta  plato  pivijay y cienaga del dpto del magdalena  por su esfuerzo de ayer en las manifestaciones que llenaron las plazas populares en apoyo a nuestra campaña presidencial  toda mi gratitud y reconocimiento ,2022-05-02 12:28:37+00:00
6,1520884068707147777,el primero de mayo conmemoramos una lucha por la igualdad  los derechos y por la mejora de la calidad de vida  nuestro gobierno estará siempre del lado de las y los trabajadores y sus luchas  feliz dia internacional del trabajador  trabajadoresconpetro ,2022-05-01 21:53:13+00:00
7,1520569694494806018,santa marta progresista  votará por el cambio de colombia  ,2022-05-01 01:04:00+00:00
8,1520568438019825664,santa marta  ,2022-05-01 00:59:01+00:00
9,1520548738812551176,santa marta ahora  ,2022-04-30 23:40:44+00:00
10,1520527062301388800,centenares de miembros de veteranos por colombiay la reserva activa de las fuerzas militares  deciden apoyar la política de seguridad humana de la campaña del cambio   ,2022-04-30 22:14:36+00:00
11,1520526213210591234,entrevista para npr de los eeuu,2022-04-30 22:11:13+00:00
12,1520524896027267074,nos une colombia  ,2022-04-30 22:05:59+00:00
13,1520522792818651139,,2022-04-30 21:57:38+00:00
14,1520499476779225089,"en el programa ""petro escucha"" en sta marta  ",2022-04-30 20:24:59+00:00
15,1520430113522921473,a esta hora desde santa marta fuerza ciudadana adhiere a nuestra campaña para cambiar a colombia fuerzaconpetro señal en vivo: ,2022-04-30 15:49:21+00:00
16,1520418478687236097,una invitación a la juventud  jóvenes seduzcan a sus padres y madres  vamos en familia a votar por el cambio de colombia  ,2022-04-30 15:03:07+00:00
17,1520417600131551232,la educación y el agua son pilares fundamentales en nuestra agenda y gestión para todos los niños y niñas de colombia  cambioporlavida ,2022-04-30 14:59:38+00:00
18,1520388947888812034,casi por unanimidad las juventudes liberales deciden sumarse a la campaña del cambio por la vida  ,2022-04-30 13:05:47+00:00
19,1520215782684250113,reservas y veteranos de las fuerzas militares presentes con el cambio por la vida  ,2022-04-30 01:37:41+00:00
20,1520215129375358976,veteranos por colombia  ,2022-04-30 01:35:05+00:00
21,1520214489219616768,centenares de oficiales en retiro  de exsoldados de colombia en el acto de apoyo a la campaña del cambio en cali ,2022-04-30 01:32:33+00:00
22,1520213828407119872,a esta hora participo en la convención de militares y policías de la reserva activa ,2022-04-30 01:29:55+00:00
23,1520202503870160897,"un libro es compartir los sueños y anhelos  hoy estuve en la  con miles de colombianos y colombianas  que creen en el cambio por la vida gracias por acompañarme en la firma de libros ""una vida  muchas vidas"" con  ¡las quiero y los quiero mucho! ",2022-04-30 00:44:55+00:00
24,1520198385017438213,el liberalismo del huila se vincula  campaña por el cambio ,2022-04-30 00:28:33+00:00
25,1520153534737620992,a esta hora en la firma de libros de “una vida  muchas vidas” en la filbo con  ,2022-04-29 21:30:20+00:00
26,1520142334343749633,ya esto en minutos en la feria del libro ,2022-04-29 20:45:50+00:00
27,1520069969576345600,quiero invitarles a ser parte de 1millóndeventanasxpetro  vamos a llegar a un millón de hogares y de corazones por el cambio  entra a   descarga tu afiche  imprímelo y pégalo en tu ventana  sube tu foto con súmatealcambio ,2022-04-29 15:58:16+00:00
28,1519653462442528769,"mañana tenemos una cita con ""una vida  muchas vidas"" en la feria del libro de bogotá  en la firma de libros de 2 a 5 p m  en corferias las y los espero para que compartamos un rato agradable  petroenlafilbo ",2022-04-28 12:23:13+00:00
29,1519443743073615880,ahora en el espinal  tolima ,2022-04-27 22:29:52+00:00
30,1519375656118804481,agradezco el apoyo del liberalismo que quiere el cambio y construir el futuro de paz y democracia vamos a un gran frente amplio que haga de colombia una potencia mundial de la vida  ,2022-04-27 17:59:19+00:00
31,1519335508710760448,estalla la rebelión liberal  que el pueblo coja las banderas de lópez pumarejo y gaitán,2022-04-27 15:19:47+00:00
32,1519326209133400071,"en ""petro escucha"" en honda  tolima bajo el monumento y junto a la casa de alfonso lopez pumarejo ",2022-04-27 14:42:50+00:00
33,1519317957079453697,nos espera el tolima  ,2022-04-27 14:10:03+00:00
34,1519299439545962498,a los trabajadore(a)s del audiovisual se le han robado más de 150 000 millones de ingresos por retransmitir sus obras y su trabajo sin pagos es una verdadera explotación del trabajo ,2022-04-27 12:56:28+00:00
