,Unnamed: 0,id,texto,fecha
0,0,1521286923532345345,la vida es lo primero  amenazar de muerte a un candidato  es amenazar de muerte a la democracia  mi solidaridad total con   ,2022-05-03 00:34:01+00:00
1,1,1521282633619357698,duque se gasta 4 300 millones de pesos a costa de la plata de los estudiantes  por qué no coger esa plata y saldar la deuda del icetex de toda la muchachada? muchas gracias a todos los estudiantes del censa  que se acercaron a escucharme rodolfohernandez rodolfopresidente ,2022-05-03 00:16:58+00:00
2,2,1521277701390221314,solo me queda por decir: gracias medellín 💛💙  rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-05-02 23:57:22+00:00
3,3,1521235719452246016,mi propuesta para la salud 🏥⚕️vamos a revisar costos para cobrarle y pagarle a cada quien lo justo  los colombianos pagan de contado y el estado deberá pagar de contado💵💪🏻 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-05-02 21:10:33+00:00
4,4,1521189571735740416,piter  así es  de bucaramanga pa'l mundo  siempre adelante  ni un paso atrás😍  mil y mil gracias🇨🇴 ,2022-05-02 18:07:10+00:00
5,5,1521177554371203073,me vine pa' medellín  aunque llegué tarde al concierto de maluma y me perdí a madonna  quiénes se gozaron ese espectáculo? 🤭😚rodolfohernandez ,2022-05-02 17:19:25+00:00
6,6,1521163887508443138,enprimeravotopor un candidato que nos une  en vez de dividirnos rodolfohernandez rodolfopresidente elecciones2022 ligaanrrupcion,2022-05-02 16:25:07+00:00
7,7,1521157876752035843,el gasto que vale la pena es el que mejora la condiciones de vida de la ciudadanía  las reformas tributarias no son para tapar los huecos de despilfarro y robo que hacen los politiqueros  rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-05-02 16:01:14+00:00
8,8,1521101381372940288,yacasi seré su presidente 🙊rodolfohernandez rodolfopresidente elecciones2022 ligaanrrupcion,2022-05-02 12:16:44+00:00
9,9,1521006661086986242,🥺🙏🏼 ,2022-05-02 06:00:21+00:00
10,10,1521004017727557634,77262899 y no se dieron cuenta 🤭,2022-05-02 05:49:51+00:00
11,11,1521003856435552258,3 yo también mijito!,2022-05-02 05:49:12+00:00
12,12,1520988345589026818,2 🤣  yo tengo novia hace 50 años😍!,2022-05-02 04:47:34+00:00
13,13,1520988051480223745,13 mil gracias camilo 🙏🏼,2022-05-02 04:46:24+00:00
14,14,1520965292033150977,"estoy impresionado del recibimiento que me hicieron los antioqueños aquí en medellín  en esta tierra de dos fuertes candidatos  siendo yo un ""desconocido""  escucharlos decir: ""rodolfo  amigo  antioquia está contigo""  compromete mi gratitud  no les voy a fallar! 💛💙 ",2022-05-02 03:15:58+00:00
15,15,1520855275854520321,en memoria de ángela hernández  una mujer joven con berraquera  con pantalones  que siempre defendió a la familia como eje central de la sociedad  ángela siempre permanecerá en la memoria de quiénes la acompañaron en sus luchas  mis condolencias y un abrazo a su familia💗🤍🙏🏻  ,2022-05-01 19:58:48+00:00
16,16,1520519830310428678,los colombianos hacen un esfuerzo grande para aportar al presupuesto nacional  pero resulta que los polís se inventan gastos para justificar la robadera  rodolfopresidente rodolfohernandez ligaanrrupcion elecciones2022 ,2022-04-30 21:45:52+00:00
17,17,1520445402037772291,les muestro un poco de todo el amor y el apoyo que recibí de parte de cada cucuteño 🫶🏻🥰 gracias cúcuta  no les voy a fallar!💪🏻😗rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-30 16:50:07+00:00
18,18,1520431296807321600,yo también ya me la vi 😅 ,2022-04-30 15:54:04+00:00
19,19,1520424085649608704,feliz díadelniño mis chinitos 🥳🫶🏻 rodolfohernandez ,2022-04-30 15:25:24+00:00
20,20,1520219435973464064,mil gracias 🥺🙏🏼 ,2022-04-30 01:52:12+00:00
21,21,1520218968321306624,la gavilla!,2022-04-30 01:50:21+00:00
22,22,1520196153899372545,este mensaje es para todas las mujeres❤️ rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-30 00:19:41+00:00
23,23,1520154632840003586,para que el presupuesto de la nación rinda  se tiene que bajar el gasto público inoficioso 💸📉rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-29 21:34:42+00:00
24,24,1520147353218473986,una pequeña parte de la gavilla de la que les hablo  todos contra mí  y yo solito  en las calles  sigo creciendo en las encuestas  📈👷🏼‍♂️ rodolfopresidente rodolfoes invamer rodolfohernandez ,2022-04-29 21:05:46+00:00
25,25,1520137543769067520,mis influenciadores son ustedes  ayúdenme compartiendo todo mi contenido de redes sociales para que nos ganemos esto  yo sé que podemos!💛💙rodolfopresidente rodolfohernandez ,2022-04-29 20:26:47+00:00
26,26,1520132205388906496,laverdadesque este 29 de mayo voy a ser su presidente 💛💙! rodolfopresidente,2022-04-29 20:05:35+00:00
27,27,1520096439157891072,gravísimo que piedad córdoba  como senadora  esté yendo a ver extraditables  ella como senadora debería velar por los intereses de los colombianos y estar pendiente de que la plata no se la roben  no la despilfarren   aestahora envivo en ,2022-04-29 17:43:27+00:00
